person_id,name,team_id,team,team_abbreviation,position,rank,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area
494531,Orlando Gill,285023_43928,Paraguay,PAR,GK,1,28,141,124
390650,Eloy Room,285023_1895293,Curaçao,CUW,GK,2,21,81,72
448107,Gregor Kobel,285023_43971,Switzerland,SUI,GK,3,20,100,88
403001,Diogo Costa,285023_43963,Portugal,POR,GK,3,20,114,93
356956,Yassine Bounou,285023_43872,Morocco,MAR,GK,5,19,112,91
364752,Vozinha,285023_43850,Cabo Verde,CPV,GK,6,18,136,102
373235,Orjan Nyland,285023_43961,Norway,NOR,GK,7,17,107,93
358106,Thibaut Courtois,285023_43935,Belgium,BEL,GK,7,17,110,90
424081,Bart Verbruggen,285023_43960,Netherlands,NED,GK,7,17,57,54
405530,Zion Suzuki,285023_43819,Japan,JPN,GK,7,17,78,64
396885,Mohammed Alowais,285023_43835,Saudi Arabia,KSA,GK,7,17,86,78
419459,Mahmoud Abunada,285023_43834,Qatar,QAT,GK,12,16,124,103
380007,Alireza Beiranvand,285023_43817,IR Iran,IRN,GK,13,15,75,65
441313,Lionel Mpasi,285023_20014,Congo DR,COD,GK,13,15,83,70
371739,Alexander Schlager,285023_43934,Austria,AUT,GK,13,15,85,74
308370,Alisson,285023_43924,Brazil,BRA,GK,13,15,67,59
336022,Jordan Pickford,285023_43942,England,ENG,GK,17,14,116,94
416906,Mostafa Shoubir,285023_43855,Egypt,EGY,GK,17,14,119,105
395986,Ronwen Williams,285023_43883,South Africa,RSA,GK,17,14,72,59
494557,Patrick Beach,285023_43976,Australia,AUS,GK,17,14,91,76
295922,Johny Placide,285023_43908,Haiti,HAI,GK,21,13,56,48
489685,Jacob Widell Zetterstrom,285023_43970,Sweden,SWE,GK,22,12,54,46
369029,Dominik Livakovic,285023_43938,Croatia,CRO,GK,22,12,80,68
441236,Hernan Galindez,285023_43927,Ecuador,ECU,GK,22,12,68,63
448332,Mike Maignan,285023_43946,France,FRA,GK,25,11,66,53
405873,Yahia Fofana,285023_43854,Côte d'Ivoire,CIV,GK,25,11,84,68
274281,Kim Seunggyu,285023_43822,Korea Republic,KOR,GK,25,11,42,34
368535,Max Crocombe,285023_43978,New Zealand,NZL,GK,25,11,97,88
484012,Matej Kovar,285023_43995,Czechia,CZE,GK,25,11,60,52
430753,Unai Simon,285023_43969,Spain,ESP,GK,30,10,85,65
499913,Matt Freese,285023_43921,USA,USA,GK,30,10,58,48
441241,Orlando Mosquera,285023_43914,Panama,PAN,GK,32,9,48,42
411301,Angus Gunn,285023_43967,Scotland,SCO,GK,32,9,75,64
389879,Luca Zidane,285023_43843,Algeria,ALG,GK,32,9,34,32
433806,Edouard Mendy,285023_43879,Senegal,SEN,GK,35,8,34,25
485070,Raul Rangel,285023_43911,Mexico,MEX,GK,35,8,57,46
308300,Emiliano Martinez,285023_43922,Argentina,ARG,GK,35,8,76,64
441181,Ugurcan Cakir,285023_43972,Türkiye,TUR,GK,35,8,55,46
397894,Yazeed Abulaila,285023_43820,Jordan,JOR,GK,35,8,70,56
494349,Benjamin Asare,285023_43860,Ghana,GHA,GK,35,8,55,47
386473,Lawrence Ati Zigi,285023_43860,Ghana,GHA,GK,35,8,31,30
482978,Nikola Vasilj,285023_44037,Bosnia and Herzegovina,BIH,GK,35,8,92,70
228912,Manuel Neuer,285023_43948,Germany,GER,GK,43,7,61,45
360642,Camilo Vargas,285023_43926,Colombia,COL,GK,43,7,57,54
347085,Jalal Hassan,285023_43818,Iraq,IRQ,GK,43,7,51,45
331732,Maxime Crepeau,285023_43899,Canada,CAN,GK,43,7,49,40
433365,Aymen Dahmen,285023_43888,Tunisia,TUN,GK,47,6,51,44
483535,Egil Selvik,285023_43961,Norway,NOR,GK,48,5,25,22
479110,Abduvohid Nematov,285023_44005,Uzbekistan,UZB,GK,48,5,55,44
448821,Mory Diaw,285023_43879,Senegal,SEN,GK,48,5,53,45
360496,Kristoffer Nordfeldt,285023_43970,Sweden,SWE,GK,51,4,22,20
229498,Fernando Muslera,285023_43930,Uruguay,URU,GK,51,4,41,34
433571,Ahmed Basil,285023_43818,Iraq,IRQ,GK,53,3,43,36
495348,Senne Lammens,285023_43935,Belgium,BEL,GK,54,2,7,5
479077,Utkir Yusupov,285023_44005,Uzbekistan,UZB,GK,55,1,27,21
520245,Mouhib Chamakh,285023_43888,Tunisia,TUN,GK,55,1,26,20
396315,Weverton,285023_43924,Brazil,BRA,GK,57,0,0,0
385472,Botirali Ergashev,285023_44005,Uzbekistan,UZB,GK,57,0,0,0
511118,Lukas Hornicek,285023_43995,Czechia,CZE,GK,57,0,0,0
484862,Marvin Keller,285023_43971,Switzerland,SUI,GK,57,0,0,0
390218,Michael Woud,285023_43978,New Zealand,NZL,GK,57,0,0,0
483264,Viktor Johansson,285023_43970,Sweden,SWE,GK,57,0,0,0
360498,Mert Gunok,285023_43972,Türkiye,TUR,GK,57,0,0,0
442429,Liam Kelly,285023_43967,Scotland,SCO,GK,57,0,0,0
441180,Altay Bayindir,285023_43972,Türkiye,TUR,GK,57,0,0,0
395427,Ederson,285023_43924,Brazil,BRA,GK,57,0,0,0
441260,Carlos Acevedo,285023_43911,Mexico,MEX,GK,57,0,0,0
267702,Luis Mejia,285023_43914,Panama,PAN,GK,57,0,0,0
447853,David Raya,285023_43969,Spain,ESP,GK,57,0,0,0
464546,Chris Brady,285023_43921,USA,USA,GK,57,0,0,0
228686,David Ospina,285023_43926,Colombia,COL,GK,57,0,0,0
441402,Cesar Samudio,285023_43914,Panama,PAN,GK,57,0,0,0
368664,Sergio Rochet,285023_43930,Uruguay,URU,GK,57,0,7,5
402897,Santiago Mele,285023_43930,Uruguay,URU,GK,57,0,0,0
385998,Alvaro Montero,285023_43926,Colombia,COL,GK,57,0,0,0
402022,Yvon Mvogo,285023_43971,Switzerland,SUI,GK,57,0,0,0
441162,Jindrich Stanek,285023_43995,Czechia,CZE,GK,57,0,0,0
484691,Joan Garcia,285023_43969,Spain,ESP,GK,57,0,0,0
339117,Mathew Ryan,285023_43976,Australia,AUS,GK,57,0,0,0
477817,Oussama Benbot,285023_43843,Algeria,ALG,GK,57,0,14,13
483127,Nour Baniateyah,285023_43820,Jordan,JOR,GK,57,0,0,0
406281,Cj Dos Santos,285023_43850,Cabo Verde,CPV,GK,57,0,0,0
514171,Matthieu Epolo,285023_20014,Congo DR,COD,GK,57,0,0,0
368744,Fahad Talib,285023_43818,Iraq,IRQ,GK,57,0,0,0
339746,Ahmed Alkassar,285023_43835,Saudi Arabia,KSA,GK,57,0,0,0
407114,Marcio Rosa,285023_43850,Cabo Verde,CPV,GK,57,0,0,0
520070,Melvin Mastil,285023_43843,Algeria,ALG,GK,57,0,0,0
423574,Alex Paulsen,285023_43978,New Zealand,NZL,GK,57,0,0,0
403305,Keisuke Osako,285023_43819,Japan,JPN,GK,57,0,0,0
314255,Hossein Hosseini,285023_43817,IR Iran,IRN,GK,57,0,0,0
448507,Payam Niazmand,285023_43817,IR Iran,IRN,GK,57,0,0,0
402820,Song Bumkeun,285023_43822,Korea Republic,KOR,GK,57,0,0,0
511710,Tomoki Hayakawa,285023_43819,Japan,JPN,GK,57,0,0,0
486196,Timothy Fayulu,285023_20014,Congo DR,COD,GK,57,0,0,0
431223,Abdallah Alfakhori,285023_43820,Jordan,JOR,GK,57,0,0,0
416056,Meshaal Barsham,285023_43834,Qatar,QAT,GK,57,0,0,0
331135,Paul Izzo,285023_43976,Australia,AUS,GK,57,0,0,0
397753,Jo Hyeonwoo,285023_43822,Korea Republic,KOR,GK,57,0,0,0
215285,Guillermo Ochoa,285023_43911,Mexico,MEX,GK,57,0,3,3
499803,Mike Penders,285023_43935,Belgium,BEL,GK,57,0,0,0
448295,Gonzalo Valle,285023_43927,Ecuador,ECU,GK,57,0,0,0
368689,Jose Sa,285023_43963,Portugal,POR,GK,57,0,0,0
403046,Dean Henderson,285023_43942,England,ENG,GK,57,0,0,0
419287,Nawaf Alaqidi,285023_43835,Saudi Arabia,KSA,GK,57,0,0,0
512079,Mohamed Alaa,285023_43855,Egypt,EGY,GK,57,0,0,0
395755,Munir El Kajoui,285023_43872,Morocco,MAR,GK,57,0,0,0
403090,Alban Lafont,285023_43854,Côte d'Ivoire,CIV,GK,57,0,0,0
466835,Alexandre Pierre,285023_43908,Haiti,HAI,GK,57,0,0,0
372294,Sabri Ben Hessen,285023_43888,Tunisia,TUN,GK,57,0,0,0
486259,Mohamed Kone,285023_43854,Côte d'Ivoire,CIV,GK,57,0,0,0
395860,Mahdy Soliman,285023_43855,Egypt,EGY,GK,57,0,0,0
463817,Owen Goodman,285023_43899,Canada,CAN,GK,57,0,0,0
494246,Sipho Chaine,285023_43883,South Africa,RSA,GK,57,0,0,0
395059,Ricardo Goss,285023_43883,South Africa,RSA,GK,57,0,0,0
408948,Mohamed Elshenawy,285023_43855,Egypt,EGY,GK,57,0,0,0
494277,Yehvann Diouf,285023_43879,Senegal,SEN,GK,57,0,0,0
371553,Ahmed Reda Tagnaouti,285023_43872,Morocco,MAR,GK,57,0,0,0
466853,Josue Duverger,285023_43908,Haiti,HAI,GK,57,0,0,0
441255,Dayne St Clair,285023_43899,Canada,CAN,GK,57,0,0,0
506277,Joseph Anang,285023_43860,Ghana,GHA,GK,57,0,0,0
448179,Dominik Kotarski,285023_43938,Croatia,CRO,GK,57,0,0,0
430624,Juan Musso,285023_43922,Argentina,ARG,GK,57,0,0,0
514479,Sander Tangvik,285023_43961,Norway,NOR,GK,57,0,0,0
448151,Mark Flekken,285023_43960,Netherlands,NED,GK,57,0,0,0
448217,Matt Turner,285023_43921,USA,USA,GK,57,0,21,17
318647,Gatito Fernandez,285023_43928,Paraguay,PAR,GK,57,0,0,0
394824,Geronimo Rulli,285023_43922,Argentina,ARG,GK,57,0,0,0
419002,Moises Ramirez,285023_43927,Ecuador,ECU,GK,57,0,0,0
447991,Gaston Olveira,285023_43928,Paraguay,PAR,GK,57,0,0,0
522842,Mladen Jurkas,285023_44037,Bosnia and Herzegovina,BIH,GK,57,0,0,0
466382,Trevor Doornbusch,285023_1895293,Curaçao,CUW,GK,57,0,0,0
466370,Tyrick Bodak,285023_1895293,Curaçao,CUW,GK,57,0,0,0
491228,Martin Zlomislic,285023_44037,Bosnia and Herzegovina,BIH,GK,57,0,0,0
520034,Florian Wiegele,285023_43934,Austria,AUT,GK,57,0,0,0
485080,James Trafford,285023_43942,England,ENG,GK,57,0,0,0
441065,Patrick Pentz,285023_43934,Austria,AUT,GK,57,0,0,0
429639,Alexander Nuebel,285023_43948,Germany,GER,GK,57,0,0,0
483471,Brice Samba,285023_43946,France,FRA,GK,57,0,0,0
306538,Oliver Baumann,285023_43948,Germany,GER,GK,57,0,0,0
464127,Robin Risser,285023_43946,France,FRA,GK,57,0,0,0
506028,Robin Roefs,285023_43960,Netherlands,NED,GK,57,0,0,0
448092,Rui Silva,285023_43963,Portugal,POR,GK,57,0,0,0
215553,Craig Gordon,285023_43967,Scotland,SCO,GK,57,0,0,0
514526,Ivor Pandur,285023_43938,Croatia,CRO,GK,57,0,0,0
419461,Salah Zakaria,285023_43834,Qatar,QAT,GK,57,0,0,0
